order_id,order_date,customer_id,region,customer_segment,product_id,product_name,category,quantity,discount,revenue,cost,profit
O00103,2025-09-11,C0218,East,Consumer,P007,Monitor 27,Electronics,6,0,1680,1080,600
O00104,2025-05-13,C0088,East,Small Business,P008,Desk Lamp,Furniture,4,0.1,144.0,88,56.0
O00105,2025-04-08,C0022,South,Small Business,P005,Smartphone X,Electronics,1,0.2,520.0,420,100.0
O00106,2025-05-04,C0177,West,Small Business,P007,Monitor 27,Electronics,8,0.2,1792.0,1440,352.0
O00107,2025-02-17,C0076,South,Corporate,P008,Desk Lamp,Furniture,8,0,320,176,144
O00108,2025-07-08,C0122,East,Corporate,P004,Standing Desk,Furniture,5,0.2,1240.0,950,290.0
O00109,2025-05-19,C0079,East,Consumer,P006,Backpack,Accessories,6,0.15,255.0,150,105.0
O00110,2025-03-03,C0191,South,Consumer,P002,Wireless Headphones,Electronics,4,0.1,342.0,220,122.0
O00111,2025-10-29,C0195,East,Consumer,P004,Standing Desk,Furniture,8,0.1,2232.0,1520,712.0
O00112,2025-07-04,C0046,East,Consumer,P004,Standing Desk,Furniture,5,0.05,1472.5,950,522.5
O00113,2025-01-28,C0142,East,Small Business,P003,Office Chair,Furniture,5,0,900,550,350
O00114,2025-01-07,C0147,East,Corporate,P003,Office Chair,Furniture,8,0,1440,880,560
O00115,2025-04-05,C0248,North,Corporate,P008,Desk Lamp,Furniture,8,0.1,288.0,176,112.0
O00116,2025-07-25,C0126,North,Small Business,P008,Desk Lamp,Furniture,2,0,80,44,36
O00117,2025-10-16,C0243,East,Consumer,P001,Laptop Pro 14,Electronics,3,0.05,3420.0,2550,870.0
O00118,2025-08-02,C0156,South,Small Business,P004,Standing Desk,Furniture,2,0.2,496.0,380,116.0
O00119,2025-06-02,C0221,West,Corporate,P007,Monitor 27,Electronics,8,0.15,1904.0,1440,464.0
O00120,2025-11-17,C0055,East,Small Business,P001,Laptop Pro 14,Electronics,2,0.05,2280.0,1700,580.0
O00121,2025-03-30,C0142,North,Consumer,P002,Wireless Headphones,Electronics,3,0.05,270.75,165,105.75
O00122,2025-12-19,C0153,West,Corporate,P001,Laptop Pro 14,Electronics,7,0.15,7140.0,5950,1190.0
O00123,2025-12-28,C0073,West,Consumer,P001,Laptop Pro 14,Electronics,4,0.1,4320.0,3400,920.0
O00124,2025-12-05,C0206,South,Corporate,P004,Standing Desk,Furniture,5,0.2,1240.0,950,290.0
O00125,2025-05-17,C0212,South,Consumer,P002,Wireless Headphones,Electronics,4,0.05,361.0,220,141.0
O00126,2025-11-01,C0192,East,Corporate,P001,Laptop Pro 14,Electronics,3,0.1,3240.0,2550,690.0
O00127,2025-12-25,C0104,East,Small Business,P002,Wireless Headphones,Electronics,8,0.1,684.0,440,244.0
O00128,2025-11-03,C0011,West,Small Business,P008,Desk Lamp,Furniture,8,0,320,176,144
O00129,2025-02-16,C0059,North,Small Business,P006,Backpack,Accessories,5,0,250,125,125
O00130,2025-08-29,C0133,West,Corporate,P005,Smartphone X,Electronics,1,0.05,617.5,420,197.5
O00131,2025-02-16,C0121,East,Corporate,P003,Office Chair,Furniture,7,0.15,1071.0,770,301.0
O00132,2025-03-24,C0085,West,Small Business,P006,Backpack,Accessories,6,0,300,150,150
O00133,2025-10-09,C0010,West,Consumer,P008,Desk Lamp,Furniture,5,0.15,170.0,110,60.0
O00134,2025-03-01,C0249,West,Small Business,P006,Backpack,Accessories,5,0.1,225.0,125,100.0
O00135,2025-01-28,C0049,East,Small Business,P001,Laptop Pro 14,Electronics,8,0.15,8160.0,6800,1360.0
O00136,2025-04-15,C0069,South,Corporate,P008,Desk Lamp,Furniture,8,0,320,176,144
O00137,2025-01-15,C0250,South,Small Business,P008,Desk Lamp,Furniture,8,0,320,176,144
O00138,2025-01-08,C0142,West,Consumer,P003,Office Chair,Furniture,5,0.2,720.0,550,170.0
O00139,2025-03-02,C0166,South,Corporate,P004,Standing Desk,Furniture,2,0.15,527.0,380,147.0
O00140,2025-09-05,C0121,South,Corporate,P005,Smartphone X,Electronics,5,0.15,2762.5,2100,662.5
O00141,2025-11-03,C0131,South,Consumer,P003,Office Chair,Furniture,7,0.05,1197.0,770,427.0
O00142,2025-09-17,C0069,North,Corporate,P005,Smartphone X,Electronics,7,0.1,4095.0,2940,1155.0
O00143,2025-08-17,C0138,West,Corporate,P005,Smartphone X,Electronics,8,0.05,4940.0,3360,1580.0
O00144,2025-06-14,C0223,South,Small Business,P006,Backpack,Accessories,7,0.15,297.5,175,122.5
O00145,2025-07-30,C0012,East,Small Business,P004,Standing Desk,Furniture,7,0.05,2061.5,1330,731.5
O00146,2025-12-06,C0203,South,Corporate,P008,Desk Lamp,Furniture,7,0.15,238.0,154,84.0
O00147,2025-10-30,C0085,North,Corporate,P001,Laptop Pro 14,Electronics,3,0.2,2880.0,2550,330.0
O00148,2025-03-15,C0105,South,Consumer,P002,Wireless Headphones,Electronics,8,0,760,440,320
O00149,2025-11-16,C0178,West,Small Business,P008,Desk Lamp,Furniture,5,0.1,180.0,110,70.0
O00150,2025-07-14,C0245,East,Small Business,P002,Wireless Headphones,Electronics,6,0.2,456.0,330,126.0
O00151,2025-02-05,C0061,East,Consumer,P008,Desk Lamp,Furniture,1,0.2,32.0,22,10.0
O00152,2025-11-21,C0181,North,Corporate,P002,Wireless Headphones,Electronics,7,0,665,385,280
O00153,2025-01-24,C0084,North,Corporate,P003,Office Chair,Furniture,5,0,900,550,350
O00154,2025-03-16,C0063,West,Small Business,P006,Backpack,Accessories,6,0.15,255.0,150,105.0
O00155,2025-02-10,C0157,West,Small Business,P003,Office Chair,Furniture,3,0.05,513.0,330,183.0
O00156,2025-03-15,C0060,West,Small Business,P004,Standing Desk,Furniture,8,0.2,1984.0,1520,464.0
O00157,2025-12-08,C0003,West,Corporate,P005,Smartphone X,Electronics,8,0.1,4680.0,3360,1320.0
O00158,2025-06-26,C0151,East,Small Business,P003,Office Chair,Furniture,2,0.15,306.0,220,86.0
O00159,2025-06-04,C0051,West,Corporate,P007,Monitor 27,Electronics,5,0.15,1190.0,900,290.0
O00160,2025-10-20,C0092,East,Small Business,P002,Wireless Headphones,Electronics,4,0.15,323.0,220,103.0
O00161,2025-05-21,C0003,North,Small Business,P005,Smartphone X,Electronics,1,0.15,552.5,420,132.5
O00162,2025-11-07,C0206,East,Consumer,P008,Desk Lamp,Furniture,5,0.05,190.0,110,80.0
O00163,2025-11-18,C0025,North,Corporate,P004,Standing Desk,Furniture,5,0.05,1472.5,950,522.5
O00164,2025-07-06,C0188,South,Consumer,P008,Desk Lamp,Furniture,1,0.2,32.0,22,10.0
O00165,2025-03-31,C0052,South,Small Business,P005,Smartphone X,Electronics,6,0.15,3315.0,2520,795.0
O00166,2025-05-12,C0234,West,Corporate,P006,Backpack,Accessories,5,0.05,237.5,125,112.5
O00167,2025-02-08,C0037,South,Small Business,P006,Backpack,Accessories,2,0.15,85.0,50,35.0
O00168,2025-07-22,C0004,East,Small Business,P007,Monitor 27,Electronics,6,0,1680,1080,600
O00169,2025-12-11,C0192,East,Small Business,P002,Wireless Headphones,Electronics,8,0.1,684.0,440,244.0
O00170,2025-12-12,C0060,West,Consumer,P007,Monitor 27,Electronics,6,0,1680,1080,600
O00171,2025-11-22,C0211,West,Small Business,P006,Backpack,Accessories,4,0,200,100,100
O00172,2025-03-13,C0012,North,Corporate,P005,Smartphone X,Electronics,7,0,4550,2940,1610
O00173,2025-05-01,C0228,South,Corporate,P008,Desk Lamp,Furniture,2,0,80,44,36
O00174,2025-08-03,C0151,South,Corporate,P008,Desk Lamp,Furniture,6,0.2,192.0,132,60.0
O00175,2025-07-28,C0241,East,Consumer,P002,Wireless Headphones,Electronics,8,0.2,608.0,440,168.0
O00176,2025-08-16,C0244,South,Corporate,P006,Backpack,Accessories,4,0.15,170.0,100,70.0
O00177,2025-11-27,C0092,North,Corporate,P002,Wireless Headphones,Electronics,6,0.2,456.0,330,126.0
O00178,2025-08-21,C0024,South,Small Business,P005,Smartphone X,Electronics,4,0,2600,1680,920
O00179,2025-05-05,C0033,South,Consumer,P001,Laptop Pro 14,Electronics,1,0.1,1080.0,850,230.0
O00180,2025-06-18,C0199,South,Small Business,P004,Standing Desk,Furniture,4,0.05,1178.0,760,418.0
O00181,2025-03-08,C0139,East,Consumer,P001,Laptop Pro 14,Electronics,5,0.05,5700.0,4250,1450.0
O00182,2025-01-08,C0092,South,Small Business,P002,Wireless Headphones,Electronics,1,0.05,90.25,55,35.25
O00183,2025-05-16,C0014,South,Small Business,P006,Backpack,Accessories,1,0.05,47.5,25,22.5
O00184,2025-09-01,C0115,East,Small Business,P007,Monitor 27,Electronics,2,0,560,360,200
O00185,2025-04-24,C0243,North,Small Business,P002,Wireless Headphones,Electronics,8,0.2,608.0,440,168.0
O00186,2025-02-01,C0123,West,Corporate,P005,Smartphone X,Electronics,8,0,5200,3360,1840
O00187,2025-02-07,C0231,North,Corporate,P002,Wireless Headphones,Electronics,8,0.15,646.0,440,206.0
O00188,2025-05-21,C0160,East,Corporate,P003,Office Chair,Furniture,2,0.05,342.0,220,122.0
O00189,2025-11-06,C0111,North,Small Business,P005,Smartphone X,Electronics,8,0.2,4160.0,3360,800.0
O00190,2025-08-20,C0228,South,Corporate,P002,Wireless Headphones,Electronics,4,0.15,323.0,220,103.0
O00191,2025-08-01,C0187,North,Corporate,P006,Backpack,Accessories,8,0.15,340.0,200,140.0
O00192,2025-07-11,C0245,South,Small Business,P007,Monitor 27,Electronics,6,0.1,1512.0,1080,432.0
O00193,2025-02-13,C0024,West,Consumer,P008,Desk Lamp,Furniture,2,0,80,44,36
O00194,2025-01-31,C0151,East,Small Business,P006,Backpack,Accessories,3,0.2,120.0,75,45.0
O00195,2025-12-07,C0241,West,Small Business,P002,Wireless Headphones,Electronics,7,0.1,598.5,385,213.5
O00196,2025-06-09,C0091,North,Small Business,P001,Laptop Pro 14,Electronics,5,0.2,4800.0,4250,550.0
O00197,2025-04-25,C0217,North,Corporate,P004,Standing Desk,Furniture,3,0.15,790.5,570,220.5
O00198,2025-10-21,C0058,West,Small Business,P006,Backpack,Accessories,2,0.1,90.0,50,40.0
O00199,2025-04-03,C0070,East,Corporate,P001,Laptop Pro 14,Electronics,5,0,6000,4250,1750
O00200,2025-03-15,C0145,West,Consumer,P006,Backpack,Accessories,1,0.05,47.5,25,22.5
O00201,2025-09-29,C0056,West,Corporate,P003,Office Chair,Furniture,1,0,180,110,70
O00202,2025-07-09,C0080,East,Small Business,P008,Desk Lamp,Furniture,6,0.05,228.0,132,96.0
O00203,2025-03-22,C0194,North,Small Business,P002,Wireless Headphones,Electronics,1,0.05,90.25,55,35.25
O00204,2025-12-05,C0109,West,Small Business,P002,Wireless Headphones,Electronics,5,0.15,403.75,275,128.75
O00205,2025-04-21,C0194,North,Corporate,P008,Desk Lamp,Furniture,7,0.1,252.0,154,98.0
O00206,2025-12-14,C0174,West,Small Business,P007,Monitor 27,Electronics,2,0.1,504.0,360,144.0
O00207,2025-07-22,C0154,North,Consumer,P005,Smartphone X,Electronics,1,0.05,617.5,420,197.5
O00208,2025-03-12,C0196,East,Corporate,P004,Standing Desk,Furniture,5,0.05,1472.5,950,522.5
O00209,2025-09-12,C0192,West,Consumer,P006,Backpack,Accessories,2,0,100,50,50
O00210,2025-12-27,C0059,East,Consumer,P003,Office Chair,Furniture,7,0.2,1008.0,770,238.0
O00211,2025-01-10,C0118,North,Corporate,P007,Monitor 27,Electronics,1,0.15,238.0,180,58.0
O00212,2025-05-29,C0030,West,Consumer,P007,Monitor 27,Electronics,7,0.15,1666.0,1260,406.0
O00213,2025-08-24,C0213,East,Consumer,P006,Backpack,Accessories,3,0.2,120.0,75,45.0
O00214,2025-08-12,C0151,West,Small Business,P007,Monitor 27,Electronics,2,0.05,532.0,360,172.0
O00215,2025-06-23,C0057,East,Consumer,P002,Wireless Headphones,Electronics,7,0.1,598.5,385,213.5
O00216,2025-09-19,C0050,East,Corporate,P002,Wireless Headphones,Electronics,2,0.2,152.0,110,42.0
O00217,2025-03-16,C0066,South,Consumer,P003,Office Chair,Furniture,4,0,720,440,280
O00218,2025-11-18,C0127,West,Small Business,P003,Office Chair,Furniture,2,0.05,342.0,220,122.0
O00219,2025-03-19,C0113,North,Corporate,P008,Desk Lamp,Furniture,6,0.1,216.0,132,84.0
O00220,2025-10-30,C0015,East,Small Business,P008,Desk Lamp,Furniture,5,0.1,180.0,110,70.0
O00221,2025-08-20,C0010,North,Corporate,P002,Wireless Headphones,Electronics,5,0.15,403.75,275,128.75
O00222,2025-11-11,C0153,West,Corporate,P005,Smartphone X,Electronics,2,0,1300,840,460
O00223,2025-11-30,C0049,East,Small Business,P001,Laptop Pro 14,Electronics,8,0.2,7680.0,6800,880.0
O00224,2025-08-19,C0027,East,Small Business,P008,Desk Lamp,Furniture,3,0,120,66,54
O00225,2025-05-07,C0182,West,Corporate,P002,Wireless Headphones,Electronics,3,0,285,165,120
O00226,2025-05-25,C0100,West,Corporate,P003,Office Chair,Furniture,6,0.1,972.0,660,312.0
O00227,2025-06-18,C0025,West,Corporate,P001,Laptop Pro 14,Electronics,6,0,7200,5100,2100
O00228,2025-02-11,C0150,South,Corporate,P005,Smartphone X,Electronics,3,0.1,1755.0,1260,495.0
O00229,2025-11-01,C0182,North,Corporate,P005,Smartphone X,Electronics,7,0.05,4322.5,2940,1382.5
O00230,2025-12-10,C0180,North,Small Business,P007,Monitor 27,Electronics,6,0.05,1596.0,1080,516.0
O00231,2025-07-05,C0080,South,Consumer,P007,Monitor 27,Electronics,6,0,1680,1080,600
O00232,2025-04-26,C0036,South,Consumer,P006,Backpack,Accessories,8,0.05,380.0,200,180.0
O00233,2025-10-04,C0214,North,Small Business,P005,Smartphone X,Electronics,2,0.2,1040.0,840,200.0
O00234,2025-07-12,C0040,South,Consumer,P006,Backpack,Accessories,3,0.2,120.0,75,45.0
O00235,2025-07-30,C0094,South,Corporate,P003,Office Chair,Furniture,8,0,1440,880,560
O00236,2025-10-01,C0062,East,Corporate,P005,Smartphone X,Electronics,8,0.05,4940.0,3360,1580.0
O00237,2025-08-14,C0119,East,Corporate,P004,Standing Desk,Furniture,6,0.2,1488.0,1140,348.0
O00238,2025-11-06,C0036,East,Consumer,P007,Monitor 27,Electronics,3,0.05,798.0,540,258.0
O00239,2025-02-22,C0183,North,Corporate,P008,Desk Lamp,Furniture,6,0.2,192.0,132,60.0
O00240,2025-08-19,C0232,South,Corporate,P002,Wireless Headphones,Electronics,3,0.1,256.5,165,91.5
O00241,2025-06-28,C0239,North,Corporate,P002,Wireless Headphones,Electronics,4,0.15,323.0,220,103.0
O00242,2025-07-11,C0061,West,Consumer,P001,Laptop Pro 14,Electronics,7,0.2,6720.0,5950,770.0
O00243,2025-06-13,C0239,North,Small Business,P006,Backpack,Accessories,4,0,200,100,100
O00244,2025-01-20,C0074,West,Small Business,P006,Backpack,Accessories,3,0.05,142.5,75,67.5
O00245,2025-11-12,C0002,North,Consumer,P003,Office Chair,Furniture,8,0.15,1224.0,880,344.0
O00246,2025-10-08,C0241,West,Consumer,P005,Smartphone X,Electronics,4,0.05,2470.0,1680,790.0
O00247,2025-03-04,C0013,South,Corporate,P005,Smartphone X,Electronics,4,0.1,2340.0,1680,660.0
O00248,2025-09-13,C0153,North,Small Business,P008,Desk Lamp,Furniture,2,0,80,44,36
O00249,2025-08-08,C0001,East,Consumer,P004,Standing Desk,Furniture,3,0.1,837.0,570,267.0
O00250,2025-09-26,C0250,East,Consumer,P007,Monitor 27,Electronics,3,0,840,540,300
O00251,2025-01-23,C0163,West,Corporate,P001,Laptop Pro 14,Electronics,7,0.15,7140.0,5950,1190.0
O00252,2025-02-04,C0089,South,Small Business,P005,Smartphone X,Electronics,1,0.1,585.0,420,165.0
O00253,2025-01-23,C0091,East,Small Business,P002,Wireless Headphones,Electronics,6,0.05,541.5,330,211.5
O00254,2025-11-20,C0047,South,Consumer,P003,Office Chair,Furniture,8,0.15,1224.0,880,344.0
O00255,2025-04-14,C0012,South,Consumer,P008,Desk Lamp,Furniture,1,0.1,36.0,22,14.0
O00256,2025-07-23,C0209,West,Corporate,P006,Backpack,Accessories,5,0.2,200.0,125,75.0
O00257,2025-07-02,C0221,North,Small Business,P001,Laptop Pro 14,Electronics,4,0.1,4320.0,3400,920.0
O00258,2025-07-08,C0112,West,Small Business,P006,Backpack,Accessories,5,0,250,125,125
O00259,2025-04-06,C0128,West,Corporate,P008,Desk Lamp,Furniture,7,0.1,252.0,154,98.0
O00260,2025-02-10,C0111,South,Small Business,P005,Smartphone X,Electronics,2,0.15,1105.0,840,265.0
O00261,2025-02-10,C0084,East,Corporate,P005,Smartphone X,Electronics,6,0,3900,2520,1380
O00262,2025-12-20,C0114,East,Corporate,P008,Desk Lamp,Furniture,7,0.05,266.0,154,112.0
